"hotel_name","price","dates","duration","rating","ta_rating","ta_review_count","ta_source","departure_airport","scraped_at","url","image_url","offer_url","filter_id","country","region","resort","departure_date","return_date","days","nights","origin_scope","pax_profile","departure_key"
"First Class","6755.0","03.07.2026 - 13.07.2026","11 dni/10 nocy","3.0","3.0","392","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/First-Class.jpg","https://fly.pl/wycieczka/turcja,alanya,mahmutlar/first-class/pVPusAso9KuLAnhm_Rl0aJAAog31inIX5L4pO9oJMgWr-fXkTGbgHrAG7pdxTS8M9dOH8qBE9SRVgwzfGG0gZI4zRQQVhfYAJqBkowLjIuMXI2mwEVChcAWAVWAlwIQMIGEeMeT_ghXSRTqydSAF6WlAFL7UNhAEzljDog8vqXCQ0AAhJjAQILfFCWRg/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=2010&transport=accommodation_flight&departureDate=2026-07-03&returnDate=2026-07-13&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","alanya","mahmutlar","2026-07-03","2026-07-13","11","10","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|alanya|2026-07-03|2026-07-13|10|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Prestige Alanya","7767.0","29.06.2026 - 08.07.2026","10 dni/9 nocy","3.8","3.8","1248","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/03/Euphoria-Comfort-Beach-Alanya.jpg","https://fly.pl/wycieczka/turcja,alanya,mahmutlar/armas-prestige/pm2tyN0JjpPtiHiY_eqSgDAAogVKFVx3wNYz2FmvdX0H0xS4k_Tsvpj37ejAXstYGCsM8qBE9SRVgwzfGG0gZI1zxQQWACagZKMC4yLjFyN5sBFQkXAFwBWAVWAkDKBhG2Jl3JGlOrJ1IAT4mOAV6NBkvtQ2EATOWMOiCo-pcJDQACEmMBAgvUuMIz/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=195149&transport=accommodation_flight&departureDate=2026-06-29&returnDate=2026-07-08&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","alanya","mahmutlar","2026-06-29","2026-07-08","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|alanya|2026-06-29|2026-07-08|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Solivia (Ex. Titan Select)","7934.0","30.06.2026 - 09.07.2026","10 dni/9 nocy","4.2","4.2","890","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2016/11/Titan-Select.jpg","https://fly.pl/wycieczka/turcja,alanya,konakli/titan-select/pf2GT5_GfF9Bg3ptBMFUMUAAogHcV0RGhlvNgmakCFaJm9ceT7OYjo67isFXULjVMAczMqBE9SRVgwzfGG0gZI_j1QQVgXYAJqBUUuMi4xcjabARUJFwBcAVgFVgJAygYR3CxP_xNdJFOrJ1IAXpaUAUvtQ2EATOWMOiCp-pcJDQACEmMBAgt6Fbu7/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=7671&transport=accommodation_flight&departureDate=2026-06-30&returnDate=2026-07-09&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","alanya","konakli","2026-06-30","2026-07-09","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|alanya|2026-06-30|2026-07-09|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Perre Delta","8676.0","03.07.2026 - 13.07.2026","11 dni/10 nocy","3.3","3.3","335","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/01/Perre-Delta.jpg","https://fly.pl/wycieczka/turcja,alanya,okurcalar/perre-delta-hotel-14/pPqkNGT5gR_t17_oGEAgumAAogdvvlctLdj6aXZa29HTv7bETGbgHrAG7pdxTS8M9dOH8qBE9SRVgwzfGG0gZI5ENQQVhfYAJqBkowLjIuMXI2mwEVChcAWAVWAlwIQMIGEdQHT4c5XSRTqydSAF6WlAFL7UNhAEzljDog8vqXCQ0AAhJjAQILF70cFw/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=205296&transport=accommodation_flight&departureDate=2026-07-03&returnDate=2026-07-13&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","alanya","okurcalar","2026-07-03","2026-07-13","11","10","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|alanya|2026-07-03|2026-07-13|10|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Ring Beach (Kemer)","8865.0","10.07.2026 - 19.07.2026","10 dni/9 nocy","3.6","3.6","373","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/01/Ring-Beach.jpg","https://fly.pl/wycieczka/turcja,kemer,beldibi/ring-beach-15/pGuquinq2yoJcoIUQwSRZwAAogGtLjX69p3zVq_U79F8auE74vFOkw00mn_TYwfryUGzAqBE9SRVgwzfGG0gZIoUVQQViHAmACagVFLjIuMXI2mwEVCRcAXAFYBVYCQMoGEasOT7AyXSRTqydSAF6WlAFL7UNhAEzljDog-fqXCQ0AAhJjAQILIe27DA/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=17566&transport=accommodation_flight&departureDate=2026-07-10&returnDate=2026-07-19&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","kemer","beldibi","2026-07-10","2026-07-19","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|kemer|2026-07-10|2026-07-19|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Viking Star","9135.0","29.06.2026 - 08.07.2026","10 dni/9 nocy","4.1","4.1","1510","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Viking-Star.jpg","https://fly.pl/wycieczka/turcja,kemer,c/viking-star/pcyjlOQ7IH62U4wrjjOA32AAoghn9BvaTcxJIYjv1CeSFNVok_Tsvpj37ejAXstYGCsM8qBE9SRVgwzfGG0gZIr0dQQWACagVFLjIuMXI2mwEVCRcAXAFYBVYCEXNA1wVd_0BTqydSAE-JjgFejQZL7UNhAEzljDogqPqXCQ0AAhJjAQMLwyRkaQ/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=2836&transport=accommodation_flight&departureDate=2026-06-29&returnDate=2026-07-08&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","kemer","c","2026-06-29","2026-07-08","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|kemer|2026-06-29|2026-07-08|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Armas Green Fugla","9374.0","29.06.2026 - 08.07.2026","10 dni/9 nocy","3.9","3.9","801","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Armas-Green-Fugla.jpg","https://fly.pl/wycieczka/turcja,alanya,c/green-fugla-beach/pFqH6mRFbhoYoNHU5S2UCtAAogJim-MAgyOPWH7ZIInqWiNIk_Tsvpj37ejAXstYGCsM8qBE9SRVgwzfGG0gZInklQQWACagVFLjIuMXI3mwEVCRcAWAZWAlwIQMIGEdAPXa8xU6snUgBPiY4BXo0GS-1DYQBM5Yw6IKj6lwkNAAISYwECC8g4HHk/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=153011&transport=accommodation_flight&departureDate=2026-06-29&returnDate=2026-07-08&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","alanya","c","2026-06-29","2026-07-08","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|alanya|2026-06-29|2026-07-08|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Club Side Coast","9387.0","10.07.2026 - 19.07.2026","10 dni/9 nocy","3.3","3.3","560","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Club-Side-Coast-fly-pl.jpg","https://fly.pl/wycieczka/turcja,side,colakli/club-side-coast/pLAMmPk0DQatOuquGSYbgsAAogI-ptpmUCnW06CvF9XH79pwAAAADVbQQAdHQEAAkAAAAqBFdFWlkwzfGG0gZIq0lQQViHAmADahxFbnRlciBBaXIvRnJlZSBCaXJkIEFpcmxpbmVzagQwNzAwagQwOTEwckKeAZUBmAEfABwBAgAWBBcEEusDEeECE7wEFJoDTNpgTwBAnBJL58UBUAAblS8duOUOIJ8NDfLlwgkBEmMBDWMBAgwT7WuT/?operator=WEZY&adults=2&children=2020-08-12&nsv=1&objectId=3895&transport=accommodation_flight&departureDate=2026-07-10&returnDate=2026-07-19&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","side","colakli","2026-07-10","2026-07-19","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|side|2026-07-10|2026-07-19|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Hane Sun Elite (ex Noble Palace Side)","9405.0","29.06.2026 - 08.07.2026","10 dni/9 nocy","3.8","3.8","67","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2024/07/hane-sun-elite-ex-noble-palace-side.jpg","https://fly.pl/wycieczka/turcja,side,colakli/noble-palace-side-12/pJ71_G5cTtvCrnS02I1KveAAogzpVa6CumeYL59D5s5hMIUYk_Tsvpj37ejAXstYGCsM8qBE9SRVgwzfGG0gZIvUlQQWACagdGQjcuMi4xcjebARUJFwBcAVgFVgJAygYRhxBd-DBTqydSAE-JjgFejQZL7UNhAEzljDogqPqXCQ0AAhJjAQINYC9Ofw/?operator=OREX&adults=2&children=2020-08-12&nsv=1&objectId=216549&transport=accommodation_flight&departureDate=2026-06-29&returnDate=2026-07-08&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","side","colakli","2026-06-29","2026-07-08","10","9","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|side|2026-06-29|2026-07-08|9|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
"Ladonia Adakule","9583.0","03.07.2026 - 14.07.2026","12 dni/11 nocy","3.8","3.8","1547","tripadvisor","Warszawa","2026-06-29T00:14:05.209864+00:00","https://fly.pl/kierunek/turcja/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=29-06-2026&filter[whenTo]=29-07-2026&filter[duration]=9:11&filter[from]=Warszawa,Warszawa-Radom,Warszawa%20-%20Modlin,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4610:20000&filter[PriceFrom]=4610&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20200812","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/12/Ladonia-Hotels-Adakule-ex-Alkoclar-Adakule-fly-pl.jpg","https://fly.pl/wycieczka/turcja,kusadasi,c/alkoclar-adakule/pU6I8cO0T9aqcB2R_Nd9A8AAoghD99Bs2IPyU77sUqllltmAAAAACWqQQAFacEAAsAAQAqBFdFWlkwzfGG0gZI70pQQVhfYANqCUVudGVyIEFpcmoEMDc1MGoEMDk1MHJDngGVAZgBHwACARwAFgQXBhLpAxOHCxSLAxHbFkyeQE8AQKIYS-fFAVAAG4mMAyCE-wwdgQUNyfvBCQESYwENYwEDDA2p02w/?operator=WEZY&adults=2&children=2020-08-12&nsv=1&objectId=13723&transport=accommodation_flight&departureDate=2026-07-03&returnDate=2026-07-14&departureLocation=Warszawa%2CWarszawa-Radom%2CWarszawa+-+Modlin%2CWarszawa+-+Radom&opt=delta&catering=all_inclusive","filter_turkey_9_11_days","turcja","kusadasi","c","2026-07-03","2026-07-14","12","11","Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom","2+1","turcja|kusadasi|2026-07-03|2026-07-14|11|Warszawa,Warszawa-Radom,Warszawa - Modlin,Warszawa - Radom|2+1"
