"hotel_name","price","dates","duration","rating","ta_rating","ta_review_count","ta_source","departure_airport","scraped_at","url","image_url","offer_url","filter_id","country","region","resort","departure_date","return_date","days","nights","origin_scope","pax_profile","departure_key"
"First Class Turcja, Alanya, Mahmutlar","9977.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","3.1","3.1","400","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/First-Class.jpg","https://fly.pl/wycieczka/turcja,alanya,mahmutlar/first-class/pLeJhA6I0viI4SY1TAT6d_AAogli-Vo87ipgrfxe2VJUMMZogE6tV6UDHwb4QLLiWTXDwqBE9SRVgw1tXQ0gZI-U1QQVifAmACagZKMC4yLjFyNpsBXAoVAxcAWAJWAkDKBhHjHk_4IV0kUqsnUwBelpQBYe1DSwBM5Yw6IIj7lwkNAAISYwECC2Gqd8A/ofertasv/?filter[tourOperator]=OREX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","mahmutlar","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|alanya|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Elite Luxury Suite & Spa Turcja, Alanya, Konaklı","10107.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","4.4","4.4","98","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/05/Elite-Luxury-Suite-Spa-fly-pl.jpg","https://fly.pl/wycieczka/turcja,alanya,konakli/elite-luxury-suite-spa-14/p4IZV079u5XT5As8vimjVHAAogoy31d-WfRMau-x3FLN_P86ynKIflSFM2YRrFELVDPGQqBEJWQkUw1tXQ0gZI-05QAVifAmACagJST3IhHBGEoAEbzq08GKH1D7kE8f8rqwQUAYiZ7OICAhJjAQMMKhfryg/ofertasv/?filter[tourOperator]=BVBE&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","konakli","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|alanya|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Nox Inn Club (ex Limoncello Konakli Beach) Turcja, Alanya, Konaklı","11697.0","27.07.2026 - 10.08.2026","15 dni/14 nocy","4.2","4.2","72","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Hotel-Misal-Resort.jpg","https://fly.pl/wycieczka/turcja,alanya,konakli/club-konakli/p8UMKeh0o6uzfwOZHAcfdbAAogssiJrINstzgLnWgsIdQrYn95uw6eu_6m--rJWmBx8nwqBFZJVFgw1tXQ0gZIsVtQQVjPAmACcj8aAFwKFQQXAFgBQI8DU-drUgBbsBle5npLgRJhAEyV3TkgxtyYCQ0AUfm2je5YT4LACl3Ej9OLhQECDGMBAgt8Uu6t/ofertasv/?filter[tourOperator]=VITX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","konakli","2026-07-27","2026-08-10","15","14","Warszawa","2+1","turcja|alanya|2026-07-27|2026-08-10|14|Warszawa|2+1"
"Titan Select Turcja, Alanya, Konakli","11903.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","4.2","4.2","890","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2016/11/Titan-Select.jpg","https://fly.pl/wycieczka/turcja,alanya,konakli/titan-select/pbniy3R4FfmDcv8t4AGsZ2AAogHcV0RGhlvNgmakCFaJm9cYgE6tV6UDHwb4QLLiWTXDwqBE9SRVgw1tXQ0gZI_1xQQVifAmACagVFLjIuMXI2mwFcChUDFwBYAlYCQMoGEdwsT_8TXSRSqydTAF6WlAFh7UNLAEzljDogiPuXCQ0AAhJjAQIL48utkw/ofertasv/?filter[tourOperator]=OREX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","konakli","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|alanya|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Loxia Comfort Beach Alanya (ex. Fun & Sun Smart Club Prestige) Turcja, Alanya, Mahmutlar","12236.0","19.07.2026 - 01.08.2026","14 dni/13 nocy","3.8","3.8","1260","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2018/03/Euphoria-Comfort-Beach-Alanya.jpg","https://fly.pl/wycieczka/turcja,alanya,mahmutlar/armas-prestige/pfQKG056diefjq4dxhNTayAAogVKFVx3wNYz2FmvdX0H0xSz3NgrPAx_XGIUz57tMl-IEqBE9SRVgw1tXQ0gZIzF9QQViPAWACagZKMC4yLjFyNpsBXAoVAxcAWAJWAkDKBhG2Jk-lGl0kUqsnUwBelpQBYe1DSwBM5Yw6IIL7lwkNAAISYwECCypfkgk/ofertasv/?filter[tourOperator]=OREX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","mahmutlar","2026-07-19","2026-08-01","14","13","Warszawa","2+1","turcja|alanya|2026-07-19|2026-08-01|13|Warszawa|2+1"
"Perre Delta Turcja, Alanya, Okurcalar","12362.0","28.07.2026 - 10.08.2026","14 dni/13 nocy","3.3","3.3","342","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/01/Perre-Delta.jpg","https://fly.pl/wycieczka/turcja,alanya,okurcalar/perre-delta-hotel-14/pBKVh_xZmuBeJSx-3oDfOPAAogdvvlctLdj6aXZa29HTv7bFjst5bPlVsO4VucQCUMGk8qBE9SRVgw1tXQ0gZIymBQQVjnAmACagZKMC4yLjFyNpsBFQ0XAFgCVgJcCEDCBhHUB0-HOV0kU6snUgBelpQBS-1DYQBM5Yw6IIv7lwkNAAISYwECC0fwnsw/ofertasv/?filter[tourOperator]=OREX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","okurcalar","2026-07-28","2026-08-10","14","13","Warszawa","2+1","turcja|alanya|2026-07-28|2026-08-10|13|Warszawa|2+1"
"Club Side Coast Turcja, Side, Colakli","12415.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","3.3","3.3","560","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Club-Side-Coast-fly-pl.jpg","https://fly.pl/wycieczka/turcja,side,colakli/club-side-coast/p5ZPnhrxwHfHXJve3kyG_AAAogI-ptpmUCnW06CvF9XH79pwAAAAA0cQQAwm0EAA0AAAAqBFdFWlkw1tXQ0gZI_2BQQVifAmADah1MT1QgUG9saXNoIEFpcmxpbmVzL0VudGVyIEFpcmoEMDY0MGoEMDkxMHJCngGVAZgBHwAcAQIAFgQXCBLnAxHhAhOtBBSaA0zpYE8AQJwSS-fFAVAAG5UvIKXlDh3yBg3B7MIJARJjAQ1jAQIMGDkFPA/ofertasv/?filter[tourOperator]=WEZY&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","side","colakli","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|side|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Kirbiyik Resort (ex. Dinler) Turcja, Alanya, Mahmutlar","12638.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","4.4","4.4","893","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/KIRBIYIK-RESORT-HOTEL.jpg","https://fly.pl/wycieczka/turcja,alanya,mahmutlar/dinler/pTb1aykLSvZWfQR5Ump1_IAAogZeaKVs_-4sx0-qcrMcpRdQAAAAA0cQQAwm0EAA0AEgAqBFdFWlkw1tXQ0gZI3mJQQVifAmADah1MT1QgUG9saXNoIEFpcmxpbmVzL0VudGVyIEFpcmoEMDY0MGoEMDkxMHJBngGVAZgBHwACARwAFgQXCBLnAxOOBxSaA0zpYE8AQJwSEd1uG5Y5S_QdUAAgupQPHfIGDcHswgkBEmMBDWMBBAaQDgYK/ofertasv/?filter[tourOperator]=WEZY&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","mahmutlar","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|alanya|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Concordia Celes Beach Turcja, Alanya, Okurcalar","12740.0","25.07.2026 - 07.08.2026","14 dni/13 nocy","3.6","3.6","803","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/05/Concordia-Celes-Beach.jpg","https://fly.pl/wycieczka/turcja,alanya,okurcalar/concordia-celes-beach/pz2f_y-8Hmp0A28Of9TXBrAAogl2R6cfcGT_gFvNe2qJwmJQAAAAA0cQQAwm0EAA0AAAAqBFdFWlkw1tXQ0gZIxGNQQVifAmADah1MT1QgUG9saXNoIEFpcmxpbmVzL0VudGVyIEFpcmoEMDY0MGoEMDkxMHJCngGVAZgBHwAcAQIAFgAXDBLnAxHxAROdBRSaA0zpYE8AQJwSS-fFAVAAG5wxIJ7jDh3yBg3B7MIJARJjAQtjAQMKKrFuNg/ofertasv/?filter[tourOperator]=WEZY&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","okurcalar","2026-07-25","2026-08-07","14","13","Warszawa","2+1","turcja|alanya|2026-07-25|2026-08-07|13|Warszawa|2+1"
"Aventura Park Turcja, Alanya","12757.0","24.07.2026 - 07.08.2026","15 dni/14 nocy","4.0","4.0","545","tripadvisor","Warszawa","2026-07-13T00:01:25.446620+00:00","https://fly.pl/oferta/turcja-wczasy/?filter[dest]=39:&filter[hotelids]=&filter[cityids]=&filter[cregids]=&filter[ofrType]=&filter[addObjType]=H&filter[whenFrom]=13-07-2026&filter[whenTo]=12-08-2026&filter[duration]=13:16&filter[from]=Warszawa,Warszawa%20-%20Radom&filter[person]=2&filter[child]=1&filter[price]=4000:20000&filter[PriceFrom]=4000&filter[PriceTo]=20000&filter[addCategory]=50&filter[addCatering]=0&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Aventura-Park.jpg","https://fly.pl/wycieczka/turcja,alanya,c/aventura-park/p68WUYaXSeOmklZknHlVC7AAogzpN8tmRJiOMX48JAZSBNb_6EusL57d7HFRgKSikgaGUqBFZJVFgw1tXQ0gZI1WNQQViHAmACcj8aAFwKFQQXAFgBQI8DU-drUgBbmBxe_ndL7UNhAEzwqzkg_NuYCQ0AUYv26O1YT6qDPV2U5aaBrQECDmMBAg39XpDu/ofertasv/?filter[tourOperator]=VITX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1","filter_turkey_13_16_days","turcja","alanya","c","2026-07-24","2026-08-07","15","14","Warszawa","2+1","turcja|alanya|2026-07-24|2026-08-07|14|Warszawa|2+1"
