"run_started_at","departure_key","filter_id","country","region","departure_date","return_date","nights","origin_scope","pax_profile","days_to_departure","offer_count","hotel_count","min_price","p10_price","p25_price","median_price","max_price","below_10000_count","below_8000_count","prev_min_price","prev_p10_price","prev_median_price","min_change_pct","p10_change_pct","median_change_pct","hotel_count_delta","common_hotel_count","avg_deal_score","mean_avg_delta_pct","hot_deal_count","good_deal_count","median_ta_rating","ta_rated_hotel_count","hot_score"
"2026-08-26T08:30:22+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T08:30:22+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","5","5","8647.0","8711.0","8807.0","9399.0","10177.0","4","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.5","3","0"
"2026-08-26T08:30:22+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","5","5","9325.0","9392.6","9494.0","9727.0","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.25","4","0"
"2026-08-26T08:30:22+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T08:30:22+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T08:30:22+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","3","3","10551.0","10597.8","10668.0","10785.0","10785.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.2","3","0"
"2026-08-26T08:30:22+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
"2026-08-26T09:34:42+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T09:34:42+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","6","6","7669.0","8158.0","8656.5","8863.5","9880.0","6","1","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.45","4","0"
"2026-08-26T09:34:42+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","4","4","9325.0","9375.7","9451.75","9610.5","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.2","3","0"
"2026-08-26T09:34:42+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T09:34:42+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T09:34:42+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","3","3","9825.0","10017.0","10305.0","10785.0","10785.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.2","3","0"
"2026-08-26T09:34:42+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
"2026-08-26T10:27:42+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T10:27:42+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","5","5","8647.0","8711.0","8807.0","9399.0","10177.0","4","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.5","3","0"
"2026-08-26T10:27:42+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","5","5","9325.0","9392.6","9494.0","9727.0","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.25","4","0"
"2026-08-26T10:27:42+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T10:27:42+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T10:27:42+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","3","3","9825.0","10017.0","10305.0","10785.0","10785.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.2","3","0"
"2026-08-26T10:27:42+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
"2026-08-26T10:58:13+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T10:58:13+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","5","5","7979.0","8246.2","8647.0","8807.0","10177.0","4","1","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.5","3","0"
"2026-08-26T10:58:13+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","5","5","9325.0","9392.6","9494.0","9727.0","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.25","4","0"
"2026-08-26T10:58:13+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T10:58:13+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T10:58:13+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","1","1","9825.0","9825.0","9825.0","9825.0","9825.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T10:58:13+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
"2026-08-26T11:23:14+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T11:23:14+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","5","5","7939.0","8222.2","8647.0","8807.0","10177.0","4","1","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.5","3","0"
"2026-08-26T11:23:14+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","5","5","9325.0","9392.6","9494.0","9727.0","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.25","4","0"
"2026-08-26T11:23:14+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T11:23:14+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T11:23:14+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","1","1","9825.0","9825.0","9825.0","9825.0","9825.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T11:23:14+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
"2026-08-26T12:33:22+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","dahab","2026-12-24","2026-12-31","7","Warszawa","2+1","120","2","2","9936.0","10010.5","10122.25","10308.5","10681.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.4","2","0"
"2026-08-26T12:33:22+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","5","5","8647.0","8711.0","8807.0","9359.0","10177.0","4","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.5","3","0"
"2026-08-26T12:33:22+0000","egipt|hurghada|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","hurghada","2026-12-24","2026-12-31","7","Warszawa","2+1","120","5","5","9325.0","9392.6","9494.0","9727.0","10919.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.25","4","0"
"2026-08-26T12:33:22+0000","egipt|marsa-alam|2026-12-26|2027-01-02|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-26","2027-01-02","7","Warszawa","2+1","122","1","1","10805.0","10805.0","10805.0","10805.0","10805.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T12:33:22+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7","Warszawa","2+1","125","3","3","9947.0","9983.0","10037.0","10127.0","10857.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.7","2","0"
"2026-08-26T12:33:22+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa - Modlin","2+1","120","1","1","9825.0","9825.0","9825.0","9825.0","9825.0","1","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","1","0"
"2026-08-26T12:33:22+0000","egipt|sharm-el-sheikh|2026-12-24|2026-12-31|7|Warszawa|2+1","","egipt","sharm-el-sheikh","2026-12-24","2026-12-31","7","Warszawa","2+1","120","13","13","8341.0","9431.2","10026.0","10251.0","10913.0","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0","0","4.3","13","0"
